tip_proprietate,tip_tranzactie,nr_camere,suprafata,suprafata_teren,an_constructie,zona,pret,link
CAS,CMP,4,90,360,2020,popas-pacurari,139000,https://homezz.ro/vila-4-camere-popas-pacurari-vlupului-2486094.html
CAS,CMP,4,93,250,2021,popas-pacurari,95500,https://homezz.ro/casa-4-camere-cu-acces-asfaltat-valea-lupului-rediu-2487080.html
CAS,CMP,4,107,250,2021,popas-pacurari,93000,https://homezz.ro/duplex-in-valea-lupului-cu-living-de-30-mp-2486334.html
CAS,CMP,2,100,314,1900,pacurari,56520,https://homezz.ro/persoana-fizica-casa-veche-zona-piata-pacurari-2434592.html
CAS,CMP,4,110,230,2020,popas-pacurari,93000,https://homezz.ro/vila-4-camere-incalzire-pardoseala-popas-pacurari-str-s-2388118.html
CAS,CMP,5,130,181,2008,tatarasi,299000,https://homezz.ro/casa-bifamiliara-tatarasi-2231558.html
CAS,CMP,3,110,330,2021,visani,73000,https://homezz.ro/casa-cu-3-camere-garaj-si-teren-330mphlincea0-comison-2443890.html
CAS,CMP,4,134,340,2016,pacurari,150000,https://homezz.ro/casa-in-zona-pacurari-nicolau-2414387.html
CAS,CMP,5+,333,2154,2000,bucium,169000,https://homezz.ro/vila-deosebita-cu-un-peisaj-panoramic-superb-bucium-paun-2484625.html
CAS,CMP,5+,160,2500,1992,pacurari,390000,https://homezz.ro/casa-9-camere-iasi-2247744.html
CAS,CMP,5,115,500,2021,valea-adanca,115000,https://homezz.ro/vila-5-cam-500-teren-valea-adanca-5-drumuri-2484666.html
CAS,CMP,4,110,270,2020,galata,119900,https://homezz.ro/casa-duplex-zona-galata-1986168.html
CAS,CMP,5,115,500,2021,valea-adanca,115,https://homezz.ro/vila-5-cam-500-teren-valea-adanca-5-2484629.html
CAS,CMP,3,170,110,1978,pacurari,88000,https://homezz.ro/casa-3-camere-pacurari-zona-semicentrala-2484674.html
CAS,CMP,3,60,453,1954,central,460000,https://homezz.ro/casa-si-teren-centru-iasi-1896358.html
CAS,CMP,4,118,300,2020,galata,155000,https://homezz.ro/vila-individuala-4-camere-galata-143-mp-2385735.html
CAS,CMP,4,100,540,2021,visani,93000,https://homezz.ro/vila-parter-pod-100mp-teren-550-mp-2424134.html
CAS,CMP,4,100,482,2021,miroslava,130000,https://homezz.ro/vila-4-camere2-bai-100-mp-utili-482-mp-terenmiroslavaia-2466404.html
CAS,CMP,4,150,370,2016,central,250000,https://homezz.ro/casa-centru-fundatie-2385914.html
CAS,CMP,4,103,320,2021,pacurari,90000,https://homezz.ro/vila-duplex-4-camere-rediu-iasi-2445469.html
CAS,CMP,4,110,430,2020,miroslava,97000,https://homezz.ro/comision-0-casa-individuala-miroslava-110-mp-430-mp-teren-2366550.html
CAS,CMP,3,86,380,2020,valea-adanca,85000,https://homezz.ro/casa-pe-valea-adanca-5-drumuri-2445559.html
CAS,CMP,4,155,300,2020,bucium,145000,https://homezz.ro/casa-cu-mansarda-hanul-trei-sarmale-bucium-155-mp-2239240.html
CAS,CMP,4,115,512,2021,pacurari,130000,https://homezz.ro/vila-4-camere-pacurari-rediu-2445471.html
CAS,CMP,3,80,375,2021,miroslava,67000,https://homezz.ro/casa-3-cam-tip-duplex-horpaz-2423956.html
CAS,CMP,5,140,650,2019,copou,125000,https://homezz.ro/casa-5-camere-630mp-teren-breazu-2481639.html
CAS,CMP,4,100,300,2021,popas-pacurari,85000,https://homezz.ro/casa-4-camere-cu-o-curte-generoasa-in-zona-popas-pacurari-2292452.html
CAS,CMP,4,109,300,2021,visani,93000,https://homezz.ro/duplex-spatios-si-elegant-4-camere-etaj-si-pod-2424000.html
CAS,CMP,4,115,520,2021,copou,130000,https://homezz.ro/casa-deosebita-cu-gazon-semineu-si-porti-automatizate-2481684.html
CAS,CMP,4,120,450,2021,copou,131000,https://homezz.ro/casa-finalizata-in-breazu-calitate-superioara-2481718.html
CAS,CMP,4,125,400,2021,copou,125000,https://homezz.ro/casa-4-cam-cu-living-spatios-si-geamuri-mari-2481741.html
CAS,CMP,4,100,200,2020,miroslava,78000,https://homezz.ro/triplex-cu-4-camere-1160mp-miroslava-canalizare-2414642.html
CAS,CMP,4,75,400,2021,central,78000,https://homezz.ro/casa-individuala-4-camere-78-000-eur-400-mp-2482081.html
CAS,CMP,3,74,200,2019,cug,65000,https://homezz.ro/casa-3-camere-pe-74-mp-cug-200mp-teren-2482079.html
CAS,CMP,4,147,156,2012,aeroport,120000,https://homezz.ro/tatarasi-aviatiei150mp-dpem-loc-parcare-loc-foisor-2427232.html
CAS,CMP,5,120,450,2020,podis-beldiman,95000,https://homezz.ro/casa-finalizata-5-camere-430-mp-teren-valea-lupului-2481774.html
CAS,CMP,4,100,413,2021,valea-adanca,98000,https://homezz.ro/casa-valea-adanca-pe-100-mp-413-mp-teren-2446570.html
CAS,CMP,5+,250,250,1971,central,700000,https://homezz.ro/casa-cu-teren-strlascar-catargiu-1758426.html
CAS,CMP,3,140,500,2010,valea-adanca,119000,https://homezz.ro/casa-complet-mobilata-zona-f-buna-si-linistita-119000-2482104.html
CAS,CMP,4,115,460,2020,valea-adanca,95000,https://homezz.ro/vila-4-camere-cu-beci-si-460mp-teren-2167194.html
CAS,CMP,4,85,680,2020,valea-adanca,93000,https://homezz.ro/casa-individuala-4-camere-beci-500mp-teren-zona-valea-adan-2330074.html
CAS,CMP,4,113,210,2020,galata,130000,https://homezz.ro/vila-galata-la-5-min-de-belvedere-0-comision-2193381.html
CAS,CMP,5,155,500,2021,bucium,155000,https://homezz.ro/vila-bucium-2329968.html
CAS,CMP,5,120,400,2021,frumoasa,108000,https://homezz.ro/vila-individuala-5-camere-2-baiteren-400-mp-in-vladiceni-2442145.html
CAS,CMP,4,80,400,2021,vest,69500,https://homezz.ro/casa-3-camere-2-bai-miroslava-valea-ursului-69500-2421209.html
CAS,CMP,4,108,150,2021,miroslava,86000,https://homezz.ro/triplex-miroslava-4-camere-spatioase-86000-2463026.html
CAS,CMP,4,105,500,2020,valea-adanca,110000,https://homezz.ro/casa-spatioasa-valea-adanca-4-camere-105mp-105000-2420478.html
CAS,CMP,5+,318,488,2018,bucium,160000,https://homezz.ro/casa-individuala-bucium-lidl-2480126.html
CAS,CMP,5,185,600,2021,popas-pacurari,210000,https://homezz.ro/vila-5-camere-proiect-deosebit-popas-pacurariv-lupului-2388800.html
CAS,CMP,4,109,250,2021,miroslava,93500,https://homezz.ro/vila-design-modern-4-cam-cu-mutare-imediata-miroslava-2433702.html
CAS,CMP,4,110,430,2021,miroslava,105000,https://homezz.ro/casa-finalizata-4-cam-430-mp-teren-miroslava-2433758.html
CAS,CMP,5,180,533,2020,miroslava,80000,https://homezz.ro/casa-miroslava-2386910.html
CAS,CMP,5+,300,1500,2012,bucium,265000,https://homezz.ro/vila-bucium-1500mp-teren-2480159.html
CAS,CMP,4,101,340,2021,popas-pacurari,89000,https://homezz.ro/vila-tip-duplex-in-valea-lupului-cu-beci-2480989.html
CAS,CMP,4,110,530,2020,popas-pacurari,110000,https://homezz.ro/vila-individuala-4-camere-popas-pacurari-2462131.html
CAS,CMP,4,124,426,2021,copou,165000,https://homezz.ro/vila-parteretaj-breazu-is-150m-de-soseaua-principala-2461681.html
CAS,CMP,4,115,300,2021,central,77000,https://homezz.ro/77000e-casa-4-camere-bucatarie-spatioasa2-bai-5-min-mijl-2481391.html
CAS,CMP,4,122,400,2020,copou,97000,https://homezz.ro/vila-cu-4-camere-pm-iasi-breazu-2343343.html
CAS,CMP,4,140,500,2020,galata,110000,https://homezz.ro/vila-din-caramida-pe-iasi-galata-2132911.html
CAS,CMP,5+,365,1000,2006,bucium,380000,https://homezz.ro/vila-deosebita-bucium-in-apropiere-de-trei-sarmale-2281264.html
CAS,CMP,4,190,765,2011,bucium,195000,https://homezz.ro/vila-deosebit-de-frumoasa-bucium-motel-2264798.html
